# x y r lon
0.954937 0.045345 0.956013 0.047449
0.954952 0.045409 0.956031 0.047516
0.954967 0.045474 0.956049 0.047582
0.954982 0.045538 0.956067 0.047649
0.954997 0.045603 0.956085 0.047715
0.955012 0.045667 0.956104 0.047782
0.955027 0.045732 0.956122 0.047848
0.955043 0.045796 0.956140 0.047915
0.955058 0.045860 0.956158 0.047981
0.955073 0.045925 0.956177 0.048048
0.955088 0.045989 0.956195 0.048114
0.955104 0.046053 0.956213 0.048181
0.955119 0.046117 0.956232 0.048247
0.955134 0.046182 0.956250 0.048313
0.955149 0.046246 0.956268 0.048379
0.955165 0.046310 0.956287 0.048446
0.955180 0.046374 0.956305 0.048512
0.955196 0.046438 0.956324 0.048578
0.955211 0.046502 0.956342 0.048644
0.955226 0.046566 0.956361 0.048710
0.955242 0.046630 0.956379 0.048776
0.955257 0.046694 0.956398 0.048842
0.955273 0.046758 0.956417 0.048908
0.955288 0.046822 0.956435 0.048974
0.955304 0.046886 0.956454 0.049040
0.955319 0.046950 0.956472 0.049106
0.955335 0.047014 0.956491 0.049172
0.955351 0.047078 0.956510 0.049238
0.955366 0.047141 0.956529 0.049304
0.955382 0.047205 0.956547 0.049370
0.955398 0.047269 0.956566 0.049435
0.955413 0.047333 0.956585 0.049501
0.955429 0.047396 0.956604 0.049567
0.955445 0.047460 0.956623 0.049633
0.955461 0.047524 0.956642 0.049698
0.955476 0.047587 0.956661 0.049764
0.955492 0.047651 0.956680 0.049829
0.955508 0.047715 0.956699 0.049895
0.955524 0.047778 0.956718 0.049960
0.955540 0.047842 0.956737 0.050026
0.955556 0.047905 0.956756 0.050091
0.955571 0.047969 0.956775 0.050157
0.955587 0.048032 0.956794 0.050222
0.955603 0.048096 0.956813 0.050288
0.955619 0.048159 0.956832 0.050353
0.955635 0.048222 0.956851 0.050418
0.955651 0.048286 0.956870 0.050484
0.955667 0.048349 0.956890 0.050549
0.955683 0.048412 0.956909 0.050614
0.955700 0.048476 0.956928 0.050679
